Uuid,Void/Retire,Name,Description,Parent,Attribute|id_prefix,Tags,Address 1,Address 2,Address 3,Address 4,Address 5,Address 6,City/Village,County/District,State/Province,Postal Code,Country
72636eba-29bf-4d6c-97c4-4b04d87a95b5,,Hospital Bahmni,,,,Facility; Visit Location,,,,,,,,,,,
1973e910-160e-42ef-9daf-3f020f62c4cf,,Mostrador de Registro,,Hospital Bahmni,,Login Location,,,,,,,,,,,
5e232c47-8ff5-4c5c-8057-7e39a64fefa5,,Consulta Externa-1,,Hospital Bahmni,,Login Location; Appointment Location,,,,,,,,,,,
62b55a63-f3a0-4f7c-9ea6-a85f2e7cd09a,,Consulta Externa-2,,Hospital Bahmni,,Login Location; Appointment Location,,,,,,,,,,,
b5da9afd-b29a-4cbf-91c9-ccf2aa5f799e,,Emergencias,,Hospital Bahmni,,Login Location; Admission Location,,,,,,,,,,,
9212680d-bb7c-412a-bd07-d24358f5a4ad,,Sala de Emergencias,,Emergencias,,Admission Location,,,,,,,,,,,
8e6ad830-21be-488b-87af-5e480334342c,,Sala General,,Hospital Bahmni,,Login Location; Admission Location,,,,,,,,,,,
046a84ac-cd6a-4725-b712-24cb115d1c55,,Sala General Habitación-1,,Sala General,,Admission Location,,,,,,,,,,,
6f9ad5d9-bcfe-45fb-82b1-c48bf6ae051f,,Sala General Habitación-2,,Sala General,,Admission Location,,,,,,,,,,,
60864f46-e903-44b2-a59a-dd25d41eafbd,,Sala Pediátrica,,Hospital Bahmni,,Login Location; Admission Location,,,,,,,,,,,
df352801-7c6c-4dd5-bbef-0c01a216d453,,Sala Pediátrica Habitación-1,,Sala Pediátrica,,Admission Location,,,,,,,,,,,
44cc2e40-ddce-415b-b5fc-2d99372ab117,,Quirófano General,,Hospital Bahmni,,Operation Theater,,,,,,,,,,,
9a1e5cd6-8e2e-41c6-a923-044cc55d7613,,Quirófano Ortopédico,,Hospital Bahmni,,Operation Theater,,,,,,,,,,,